TIMESTAMP_START,TIMESTAMP_END,Site,Net Radiation,Latent Heat,Sensible Heat,Soil Heat Flux,Air Temp,Soil Temp,CO2 Flux,Fire
20031022,20031028,Ha1,-9999,9.89299,9.04591,-9999,7.99,8.845,2.93549,1
20040422,20040428,Ha1,-9999,37.4738,83.9566,-9999,8.432,10.648,2.93481,1
20100108,20100114,Ha1,52.69444444,42.8682,8.97439,-9999,-7.912,15.882,2.91698,1
19930122,19930128,Ha1,-9999,7.44287,14.0345,-9999,-2.612,-0.445,2.8872,1
20141203,20141209,Me2,-9999,28.8282,-36.4431,-1.32087,7.804,0.845,2.88205,1
20010423,20010429,Ha1,149.7288647,30.165,114.424,-9999,13.447,11.418,2.87874,1
19971105,19971111,Ha1,3.511594203,11.5473,8.36846,-9999,4.15,7.482,2.87787,1
20001021,20001027,WCr,28.34336458,4.38713,12.7801,11.8194,11.346,11.346,2.87117,1
20011008,20011014,WCr,40.28108333,9.28484,9.63745,5.44927,9.555,10.016,2.86292,1
20031224,20031231,Syv,3.680190476,2.96008,-8.70135,-5.1797,-4.001,0.851,2.85943,1
20101029,20101104,Ha1,78.61458333,7.18736,21.6752,-9999,3.91,0.183,2.85499,1
20031126,20031202,Ha1,-9999,9.8794,9.97559,-9999,-0.805,2.081,2.85201,1
20050507,20050513,WCr,102.8732604,15.4832,40.4643,14.3334,9.937,10.221,2.80289,1
20100219,20100225,Ha1,87.41666667,42.8682,16.7405,-9999,0.29,15.882,2.79004,1
20140507,20140513,WCr,125.5842406,25.5043,49.2947,8.93312,11.767,10.197,2.78921,1
19931112,19931118,Ha1,3.350378788,45.2884,10.3546,-9999,16.99,7.23,2.78892,1
20041125,20041201,Ha1,-9999,6.11283,-4.56568,-9999,3.754,5.185,2.78401,1
20131001,20131007,WCr,49.90365972,22.2917,12.8745,1.87792,11.914,12.863,2.77863,1
20031217,20031223,Syv,-3.073427083,0.416027,-8.43459,-4.57266,-7.395,0.871,2.77691,1
20020618,20020624,WCr,-9999,54.1302,7.05431,15.7487,20.656,17.588,2.77585,1
20130716,20130722,Me2,188.2980764,70.2713,103.065,6.60026,22.163,21.266,2.77055,1
19931105,19931111,Ha1,11.12351779,49.4995,23.3969,-9999,17.38,6.54,2.76454,1
20120805,20120811,Me2,174.1589722,91.7657,81.1017,2.73361,21.24,19.974,2.76316,1
20091210,20091216,Ha1,46.98333333,41.7899,1.39957,-9999,-5.34,15.882,2.73965,1
20121028,20121103,Ha1,17.00545635,15.854,1.92186,-9999,8.261,11.111,2.73146,1
20140709,20140715,Me2,169.036399,94.1969,74.8669,5.78323,22.99,20.69,2.71868,1
20041021,20041027,WCr,24.12991319,3.83644,7.01189,7.09316,7.044,9.108,2.70489,1
20090108,20090114,Ha1,-9999,9.80512,5.64078,-9999,-8.184,0.629,2.6991,1
20061126,20061202,Ha1,3.066666667,1.9469,-6.43132,-9999,8.167,6.9,2.67457,1
20031112,20031118,Syv,6.802666667,0.795958,-3.59621,-2.11934,0.658,1.989,2.67226,1
19960422,19960428,Ha1,137.4166667,36.5497,113.031,-9999,11.174,9.162,2.67193,1
20051015,20051021,WCr,44.62683681,10.081,23.4198,1.58372,7.493,10.152,2.62987,1
20070402,20070408,Syv,54.95260764,9.14411,46.9295,-2.86443,-7.026,0.456,2.62745,1
19940507,19940513,Ha1,114.2318841,50.2128,104.685,-9999,10.224,9.603,2.61655,1
20061001,20061007,WCr,-9999,17.0385,31.0462,5.95204,12.212,11.279,2.60719,1
20100212,20100218,Ha1,74.22222222,42.6304,26.7933,-9999,-3.488,15.89,2.60641,1
20000429,20000505,WCr,174.1313949,25.3739,97.8305,21.1389,14.727,11.322,2.602,1
19970430,19970506,Ha1,122.1666667,43.0476,89.192,-9999,9.121,8.108,2.59854,1
20090129,20090204,Ha1,-9999,8.35319,27.0495,-9999,-5.331,0.549,2.5802,1
20031029,20031104,Ha1,-9999,15.1968,17.3179,-9999,7.961,9.101,2.58008,1
19991112,19991118,Ha1,-9999,13.0191,23.5721,-9999,-0.025,7.623,2.57649,1
19951029,19951104,Ha1,10.45138889,22.2211,0.209554,-9999,4.386,10.309,2.57129,1
19991029,19991104,Ha1,35.29545455,11.5893,10.281,-9999,11.481,11.706,2.5683,1
19930305,19930311,Ha1,45.14628623,6.2838,-10.3313,-9999,-0.788,0.325,2.55315,1
20050416,20050422,WCr,114.8743125,15.0195,61.9279,15.3694,10.417,9.753,2.54983,1
19991119,19991125,Ha1,14.375,6.67657,6.49973,-9999,10.365,9.258,2.54927,1
20050409,20050415,WCr,129.2230382,17.6083,90.3105,15.1933,11.284,8.224,2.5477,1
20090423,20090429,Ha1,-9999,41.1781,115.268,-9999,14.886,11.162,2.54406,1
19951022,19951028,Ha1,47.62862319,20.0802,35.1078,-9999,10.748,12.308,2.53604,1
19921216,19921222,Ha1,10.41180556,9.24617,-12.8449,-9999,1.005,2.409,2.52364,1
20091203,20091209,Ha1,70.34623016,42.8682,-22.2613,-9999,-5.374,15.882,2.51715,1
19930226,19930304,Ha1,58.45056544,7.61569,31.1547,-9999,-3.33,-0.143,2.51689,1
20120812,20120818,Me2,156.5342778,57.3007,75.7937,4.43959,23.815,21.546,2.5142,1
20110129,20110204,Ha1,63.6375,7.51179,12.615,-9999,-7.458,-0.167,2.51302,1
20021105,20021111,Ha1,-9999,6.32566,5.44169,-9999,6.206,0.879,2.50812,1
19961104,19961110,Ha1,18.25694444,5.67074,-5.74855,-9999,8.072,9.455,2.50331,1
20131008,20131014,Syv,62.10665278,38.2516,7.52156,-9999,12.144,11.077,2.50242,1
20020312,20020318,Ha1,-9999,23.4746,23.6705,-9999,3.296,-0.02,2.49617,1
20011105,20011111,Ha1,27.075,12.8017,12.3522,-9999,3.644,4.2,2.49224,1
20070507,20070513,Ha1,180.0709167,37.0148,119.723,-9999,15.318,12.179,2.48278,1
20041028,20041103,Ha1,-12.53535354,10.2402,11.1212,-9999,7.672,8.423,2.47689,1
20030507,20030513,WCr,100.5878993,16.0396,33.9325,14.021,10.159,8.553,2.47462,1
20000916,20000922,Blo,125.3195868,69.7608,40.1084,2.44533,19.166,16.089,2.46859,1
20141001,20141007,Syv,48.62445833,24.4839,4.04383,-9999,6.099,8.332,2.46587,1
19991105,19991111,Ha1,15.13194444,14.9261,20.7747,-9999,5.389,9.26,2.46501,1
20070716,20070722,Me2,-9999,52.8677,39.6039,1.58562,15.596,17.884,2.45805,1
20130910,20130916,Me2,107.0266076,17.3607,87.1933,3.36541,20.172,15.72,2.45631,1
20140514,20140520,WCr,121.1280313,24.6655,60.9213,5.70499,9.207,8.737,2.45334,1
20041028,20041103,WCr,16.32478472,3.67537,0.73956,4.30137,5.667,9.232,2.43964,1
19930108,19930114,Ha1,-9999,3.52784,10.3893,-9999,-5.679,-0.472,2.43414,1
20021112,20021118,Ha1,-9999,1.98397,4.59588,-9999,7.191,0.875,2.43406,1
19941022,19941028,Ha1,24.00905797,17.1566,23.3402,-9999,9.132,10.558,2.42438,1
20020226,20020304,Ha1,-9999,32.8842,33.4293,-9999,3.913,0.245,2.42116,1
19920304,19920310,Ha1,41.42334055,9.62268,13.1367,-9999,3.45,0.773,2.42064,1
20141112,20141118,Me2,45.94777778,11.5348,23.9095,-4.14464,-7.891,0.156,2.41355,1
20121111,20121117,Me2,12.77569444,21.1556,-10.1753,-3.09549,2.807,2.548,2.40835,1
19930430,19930506,Ha1,-9999,42.9478,103.972,-9999,13.59,11.866,2.4083,1
20091119,20091125,Ha1,57.69465812,41.7899,-8.58237,-9999,-5.501,15.882,2.40517,1
19970101,19970107,Ha1,-9999,13.5495,27.5947,-9999,-7.461,2.385,2.40282,1
20070903,20070909,Syv,88.29761111,59.9699,37.1779,2.07881,17.363,17.143,2.40271,1
20000513,20000519,Ha1,-9999,47.4954,78.3809,-9999,14.819,13.284,2.40082,1
19970507,19970513,Ha1,117.5480072,38.2254,82.9162,-9999,8.625,7.832,2.39892,1
20020212,20020218,Ha1,-9999,5.1645,24.7512,-9999,-1.853,0.248,2.37809,1
20020305,20020311,Ha1,-9999,30.5727,66.7842,-9999,3.832,-0.053,2.37809,1
20010423,20010429,WCr,-9999,26.6564,72.7782,20.5364,12.529,9.21,2.36737,1
19971210,19971216,Ha1,-9999,1.7219,6.67479,-9999,-1.644,1.646,2.36504,1
20041104,20041110,Ha1,-13.06150794,12.6987,23.7989,-9999,2.733,4.842,2.36281,1
19970514,19970520,Ha1,106.85,33.2707,75.2267,-9999,10.232,9.173,2.35893,1
20000902,20000908,Blo,125.5077465,63.1194,53.1016,-1.94242,12.08,12.985,2.3555,1
19981015,19981021,Ha1,64.86454922,19.7227,76.978,-9999,10.191,11.785,2.34116,1
